OBJECTID;GKZ;ZONE_CODE;COUNT;AREA;MIN;MAX;RANGE;MEAN;STD;SUM
40;56611634;40;9841;6150625,000000000000000;0,058007534593344;20,110593795776367;20,052586261183023;4,565196056084736;2,344479292171747;44926,094387929887000
41;56611639;41;1590;993750,000000000000000;0,070755034685135;16,842632293701172;16,771877259016037;5,948565790961561;3,447658886816173;9458,219607628881900
42;56611641;42;2554;1596250,000000000000000;0,249613448977470;14,348136901855469;14,098523452877998;5,212532755334627;2,314039304477541;13312,808657124639000
43;56611649;43;3977;2485625,000000000000000;0,103846013545990;11,924793243408203;11,820947229862213;3,513617971134090;1,898158619383485;13973,658671200275000
44;566112;44;22784;14240000,000000000000000;0,051883522421122;18,898595809936523;18,846712287515402;5,166425088877179;2,483503785102768;117711,829224977640000
45;566116542;45;4214;2633750,000000000000000;0,175898417830467;13,773433685302734;13,597535267472267;4,536213706727978;1,709089800861784;19115,604560151696000
46;56611313;46;426;266250,000000000000000;0,105414770543575;15,364771842956543;15,259357072412968;5,709354663171538;3,806329615372012;2432,185086511075500
47;53218142;47;24961;15600625,000000000000000;0,034851659089327;18,542678833007813;18,507827173918486;3,983118881941985;2,270444777602804;99422,630412153900000
48;566116549;48;3310;2068750,000000000000000;0,119155764579773;12,585000038146973;12,465844273567200;4,872322981739332;2,367463017034000;16127,389069557190000
49;56611319;49;1201;750625,000000000000000;0,076870307326317;19,283807754516602;19,206937447190285;5,561761223834371;3,919802903929139;6679,675229825079400
50;56611321;50;4692;2932500,000000000000000;0,016205692663789;13,057194709777832;13,040989017114043;5,481279601660166;1,783188509682636;25718,163890989497000
51;566116544;51;3271;2044375,000000000000000;0,054355531930923;14,954405784606934;14,900050252676010;3,648742016050674;2,016373541946444;11935,035134501755000
52;56611659;52;3802;2376250,000000000000000;0,211993411183357;17,836261749267578;17,624268338084221;4,594625330128869;3,051577378759093;17468,765505149961000
53;5614433;53;796;497500,000000000000000;0,338235348463058;3,519775390625000;3,181540042161942;2,014659751075596;0,540016020346368;1603,669161856174500
54;5661311;54;1917;1198125,000000000000000;0,041711948812008;17,146963119506836;17,105251170694828;4,040773346233116;3,221069065219810;7746,162504728883500
55;56611344;55;4209;2630625,000000000000000;0,094581343233585;15,612463951110840;15,517882607877254;5,993283247141918;2,431637663222202;25225,729187220335000
56;56611672;56;4232;2645000,000000000000000;0,058430440723896;17,863712310791016;17,805281870067120;4,974883195734627;2,286300849756551;21053,705684348941000
57;56611342;57;4213;2633125,000000000000000;0,235539391636848;16,397035598754883;16,161496207118034;6,759562670098696;3,147421899533995;28478,037529125810000
58;56611343;58;569;355625,000000000000000;0,302446186542511;13,467359542846680;13,164913356304169;5,444885896672683;2,715162447252172;3098,140075206756600
59;5661133;59;2542;1588750,000000000000000;0,009059257805347;18,009881973266602;18,000822715461254;5,742755961598554;3,448513548356937;14598,085654383525000
