"clc_111";"clc_112";"clc_121";"clc_122";"clc_123";"clc_124";"clc_131";"clc_132";"clc_133";"clc_141";"clc_142";"clc_211";"clc_221";"clc_222";"clc_231";"clc_242";"clc_243";"clc_311";"clc_312";"clc_313";"clc_321";"clc_322";"clc_324";"clc_331";"clc_333";"clc_411";"clc_412";"clc_511";"clc_512";"expression"
"5321812";;0,016;;;;;;;;;;0,6395;;;0,2921;;0,0472;;0,0052;;;;;;;;;;;"0.016 * clc_112 + 0.6395 * clc_211 + 0.2921 * clc_231 + 0.0472 * clc_243 + 0.0052 * clc_312"
"5321813";;0,1288;;;;;0,0035;;;;;0,3038;;;0,2234;;0,015;;0,3254;;;;;;;;;;;"0.1288 * clc_112 + 0.0035 * clc_131 + 0.3038 * clc_211 + 0.2234 * clc_231 + 0.015 * clc_243 + 0.3254 * clc_312"
"53218141";;;;;;;;;;;;0,2076;;;0,1274;;0,0077;;0,5641;0,0933;;;;;;;;;;"0.2076 * clc_211 + 0.1274 * clc_231 + 0.0077 * clc_243 + 0.5641 * clc_312 + 0.0933 * clc_313"
"53218142";;;;;;;;;;;;0,0976;;;0,1966;;0,0836;;0,6193;0,0029;;;;;;;;;;"0.0976 * clc_211 + 0.1966 * clc_231 + 0.0836 * clc_243 + 0.6193 * clc_312 + 0.0029 * clc_313"
"532182";;0,0273;;;;;;;;;0,0089;0,029;;;0,4636;;0,2004;;0,2377;0,0331;;;;;;;;;;"0.0273 * clc_112 + 0.0089 * clc_142 + 0.029 * clc_211 + 0.4636 * clc_231 + 0.2004 * clc_243 + 0.2377 * clc_312 + 0.0331 * clc_313"
"532321";;;;;;;;;;;;;;;0,241;;0,0755;;0,6832;4e-04;;;;;;;;;;"0.241 * clc_231 + 0.0755 * clc_243 + 0.6832 * clc_312 + 4e-04 * clc_313"
"5323411";;;;;;;;;;;;;;;0;;;;1;;;;;;;;;;;"0 * clc_231 + 1 * clc_312"
"5323412";;;;;;;;;;;;;;;0,0011;;;;0,9989;;;;;;;;;;;"0.0011 * clc_231 + 0.9989 * clc_312"
"53234131";;;;;;;;;;;;;;;0,214;;;;0,786;;;;;;;;;;;"0.214 * clc_231 + 0.786 * clc_312"
"53234132";;0,0089;;;;;;;;;;;;;0,1783;;;;0,8128;;;;;;;;;;;"0.0089 * clc_112 + 0.1783 * clc_231 + 0.8128 * clc_312"
"53234133";;0,0144;;;;;;;;;;;;;0,4767;;;;0,5088;;;;;;;;;;;"0.0144 * clc_112 + 0.4767 * clc_231 + 0.5088 * clc_312"
"53234134";;;;;;;;;;;;;;;0,0655;;;;0,9345;;;;;;;;;;;"0.0655 * clc_231 + 0.9345 * clc_312"
