"clc_111";"clc_112";"clc_121";"clc_122";"clc_123";"clc_124";"clc_131";"clc_132";"clc_133";"clc_141";"clc_142";"clc_211";"clc_221";"clc_222";"clc_231";"clc_242";"clc_243";"clc_311";"clc_312";"clc_313";"clc_321";"clc_322";"clc_324";"clc_331";"clc_333";"clc_411";"clc_412";"clc_511";"clc_512";"expression"
"53721811";;0,055;;;;;;;;;;0,7373;;;0,1971;;;0,0105;;;;;;;;;;;;"0.055 * clc_112 + 0.7373 * clc_211 + 0.1971 * clc_231 + 0.0105 * clc_311"
"53721812";;;;;;;;;;;;0,7936;;;0,1946;;;0,0118;;;;;;;;;;;;"0.7936 * clc_211 + 0.1946 * clc_231 + 0.0118 * clc_311"
"53721819";;;;;;;;;;;;0,3306;;;;;;0,6694;;;;;;;;;;;;"0.3306 * clc_211 + 0.6694 * clc_311"
"53721821";;0,0344;;;;;;;;;;0,2896;;;0,4343;;;0,2224;0,0193;;;;;;;;;;;"0.0344 * clc_112 + 0.2896 * clc_211 + 0.4343 * clc_231 + 0.2224 * clc_311 + 0.0193 * clc_312"
"53721822";;0,3728;;;;;;;;;;0,6272;;;0;;;;;;;;;;;;;;;"0.3728 * clc_112 + 0.6272 * clc_211 + 0 * clc_231"
"53721829";;0,0184;;;;;;;;;;0,5152;;;0,3228;;;0,1436;;;;;;;;;;;;"0.0184 * clc_112 + 0.5152 * clc_211 + 0.3228 * clc_231 + 0.1436 * clc_311"
"5372183";;;;;;;;;;;;0,0184;;;;;;0,9816;;;;;;;;;;;;"0.0184 * clc_211 + 0.9816 * clc_311"
"53721841";;0,0124;;;;;;;;;;0,4874;;;0,4639;;;0,0362;;;;;;;;;;;;"0.0124 * clc_112 + 0.4874 * clc_211 + 0.4639 * clc_231 + 0.0362 * clc_311"
"53721842";;0,0484;;;;;;;;;;0,8659;;;;;;0,0857;;;;;;;;;;;;"0.0484 * clc_112 + 0.8659 * clc_211 + 0.0857 * clc_311"
"53721849";;;;;;;;;;;;0,7401;;;;;;0,2599;;;;;;;;;;;;"0.7401 * clc_211 + 0.2599 * clc_311"
"537218911";;0,0567;;;;;;;;;;0,4899;;;0,1456;;;0,3078;;;;;;;;;;;;"0.0567 * clc_112 + 0.4899 * clc_211 + 0.1456 * clc_231 + 0.3078 * clc_311"
"537218919";;0,2324;;;;;;;;;;0,3906;;;0,3124;;;0,0646;;;;;;;;;;;;"0.2324 * clc_112 + 0.3906 * clc_211 + 0.3124 * clc_231 + 0.0646 * clc_311"
"53721892";;0,2954;;;;;;;;;0,0087;0,2394;;;0,087;;;0,0954;0,274;;;;;;;;;;;"0.2954 * clc_112 + 0.0087 * clc_142 + 0.2394 * clc_211 + 0.087 * clc_231 + 0.0954 * clc_311 + 0.274 * clc_312"
"53721893";;0,7052;;;;;;;;;;;;;;;;0,2948;;;;;;;;;;;;"0.7052 * clc_112 + 0.2948 * clc_311"
"53721894";;0,079;;;;;;;;;0,1847;0,1647;;;;;;0,276;0,2956;;;;;;;;;;;"0.079 * clc_112 + 0.1847 * clc_142 + 0.1647 * clc_211 + 0.276 * clc_311 + 0.2956 * clc_312"
"53721899";;0,28;;;;;;;;;0,0507;0,3553;;;6e-04;;;0,3135;;;;;;;;;;;;"0.28 * clc_112 + 0.0507 * clc_142 + 0.3553 * clc_211 + 6e-04 * clc_231 + 0.3135 * clc_311"
"5372191";;0,9422;;;;;;;;;;;;;;;;0,0578;;;;;;;;;;;;"0.9422 * clc_112 + 0.0578 * clc_311"
"5372193";;0,0159;;;;;;;;;;0,4481;;;0;;;0,536;;;;;;;;;;;;"0.0159 * clc_112 + 0.4481 * clc_211 + 0 * clc_231 + 0.536 * clc_311"
"5372194";;;;;;;;;;;;0,5605;;;;;;0,4395;;;;;;;;;;;;"0.5605 * clc_211 + 0.4395 * clc_311"
"5372195";;7e-04;0,1432;;;;;;;;;0,2475;;;;;;0,6087;;;;;;;;;;;;"7e-04 * clc_112 + 0.1432 * clc_121 + 0.2475 * clc_211 + 0.6087 * clc_311"
"5372199";;0,1533;0,2956;;;;;;;;;;;;;;;0,5511;;;;;;;;;;;;"0.1533 * clc_112 + 0.2956 * clc_121 + 0.5511 * clc_311"
"537221111";;;;;;;;;;;0,0169;;;;;;;;0,9831;;;;;;;;;;;"0.0169 * clc_142 + 0.9831 * clc_312"
"53722111911";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53722111919";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"5372211192";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"5372211193";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"5372211194";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"5372211195";;;;;;;;;;;;;;;0,2893;;;;0,7107;;;;;;;;;;;"0.2893 * clc_231 + 0.7107 * clc_312"
"5372211196";;;;;;;;;;;;;;;0,98;;;;0,02;;;;;;;;;;;"0.98 * clc_231 + 0.02 * clc_312"
"5372211197";;;;;;;;;;;;;;;0,5239;;;;0,4761;;;;;;;;;;;"0.5239 * clc_231 + 0.4761 * clc_312"
"5372211198";;;;;;;;;;;;;;;0,6956;;;;0,3044;;;;;;;;;;;"0.6956 * clc_231 + 0.3044 * clc_312"
"5372211199";;;;;;;;;;;;;;;6e-04;;;;0,9994;;;;;;;;;;;"6e-04 * clc_231 + 0.9994 * clc_312"
"53722112";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"537221131";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"537221139";;;;;;;;;;;;;;;0,0241;;;;0,9759;;;;;;;;;;;"0.0241 * clc_231 + 0.9759 * clc_312"
"53722114";;0,006;;;;;;;;;;;;;0,6078;;;;0,3861;;;;;;;;;;;"0.006 * clc_112 + 0.6078 * clc_231 + 0.3861 * clc_312"
"53722119";;0,1179;;;;;;;;;;;;;0,0388;;;;0,7211;0,1222;;;;;;;;;;"0.1179 * clc_112 + 0.0388 * clc_231 + 0.7211 * clc_312 + 0.1222 * clc_313"
"53722121";;0,0823;;;;;;;;;;;;;;;;;0,9177;;;;;;;;;;;"0.0823 * clc_112 + 0.9177 * clc_312"
"53722122";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53722129";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53722191";;0,0079;;;;;;;;;;;;;;;;;0,9921;;;;;;;;;;;"0.0079 * clc_112 + 0.9921 * clc_312"
"53722192";;0,06;;;;;;;;;;0,1427;;;0,254;;;;0,5433;;;;;;;;;;;"0.06 * clc_112 + 0.1427 * clc_211 + 0.254 * clc_231 + 0.5433 * clc_312"
"53722193";;0,0983;;;;;;;;;;;;;;;;;0,9017;;;;;;;;;;;"0.0983 * clc_112 + 0.9017 * clc_312"
"53722194";;0,0222;;;;;;;;;;;;;;;;;0,9778;;;;;;;;;;;"0.0222 * clc_112 + 0.9778 * clc_312"
"53722195";;0,4163;;;;;;;;;;;;;;;;;0,5837;;;;;;;;;;;"0.4163 * clc_112 + 0.5837 * clc_312"
"53722196";;0,0087;;;;;;;;;;;;;;;;;0,9913;;;;;;;;;;;"0.0087 * clc_112 + 0.9913 * clc_312"
"53722199";;0,2928;;;;;;;;;;;;;;;;;0,7072;;;;;;;;;;;"0.2928 * clc_112 + 0.7072 * clc_312"
"53722211";;;;;;;;;;;;;;;0,1277;;;;0,8723;;;;;;;;;;;"0.1277 * clc_231 + 0.8723 * clc_312"
"53722219";;;;;;;;;;;;;;;0,1851;;;;0,8149;;;;;;;;;;;"0.1851 * clc_231 + 0.8149 * clc_312"
"53722291";;0,0591;;;;;;;;;;;;;;;;;0,697;0,244;;;;;;;;;;"0.0591 * clc_112 + 0.697 * clc_312 + 0.244 * clc_313"
"537222921";;0,0062;;;;;;;;;;0,2251;;;0,0011;;;;0,7676;;;;;;;;;;;"0.0062 * clc_112 + 0.2251 * clc_211 + 0.0011 * clc_231 + 0.7676 * clc_312"
"537222922";;;;;;;;;;;;0,2697;;;0,162;;;;0,5682;;;;;;;;;;;"0.2697 * clc_211 + 0.162 * clc_231 + 0.5682 * clc_312"
"537222929";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53722293";;0,0126;;;;;;;;;;;;;0,4491;;;;0,5173;0,021;;;;;;;;;;"0.0126 * clc_112 + 0.4491 * clc_231 + 0.5173 * clc_312 + 0.021 * clc_313"
"53722294";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53722295";;0,0762;;;;;;;;;;;;;0,0641;;;;0,8082;0,0515;;;;;;;;;;"0.0762 * clc_112 + 0.0641 * clc_231 + 0.8082 * clc_312 + 0.0515 * clc_313"
"53722296";;0,0128;;;;;;;;;;;;;;;;;0,8345;0,1527;;;;;;;;;;"0.0128 * clc_112 + 0.8345 * clc_312 + 0.1527 * clc_313"
"53722297";;0,1848;;;;;;;;;;;;;;;;;0,8152;;;;;;;;;;;"0.1848 * clc_112 + 0.8152 * clc_312"
"53722298";;0,0066;;;;;;;;;;0,1412;;;0,1496;;;;0,7025;;;;;;;;;;;"0.0066 * clc_112 + 0.1412 * clc_211 + 0.1496 * clc_231 + 0.7025 * clc_312"
"53722299";;0,2644;;;;;;;;;;0,0779;;;0,1434;;;;0,5143;;;;;;;;;;;"0.2644 * clc_112 + 0.0779 * clc_211 + 0.1434 * clc_231 + 0.5143 * clc_312"
"5372231";;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1 * clc_112"
"53722331";;0,3988;;;;;;;;;;;;;0,1622;;;;0,4389;;;;;;;;;;;"0.3988 * clc_112 + 0.1622 * clc_231 + 0.4389 * clc_312"
"53722332";;0,024;;;;;;;;;;0,0194;;;;;;;0,9566;;;;;;;;;;;"0.024 * clc_112 + 0.0194 * clc_211 + 0.9566 * clc_312"
"53722333";;0,1099;;;;;;;;;;0,1724;;;0,4006;;;;0,3171;;;;;;;;;;;"0.1099 * clc_112 + 0.1724 * clc_211 + 0.4006 * clc_231 + 0.3171 * clc_312"
"53722334";;0,0466;;;;;;;;;;0,3082;;;0,6262;;;;0,019;;;;;;;;;;;"0.0466 * clc_112 + 0.3082 * clc_211 + 0.6262 * clc_231 + 0.019 * clc_312"
"53722335";;0,3442;;;;;;;;;;;;;0,2895;;;;0,3663;;;;;;;;;;;"0.3442 * clc_112 + 0.2895 * clc_231 + 0.3663 * clc_312"
"53722336";;0,005;;;;;;;;;;;;;;;;;0,995;;;;;;;;;;;"0.005 * clc_112 + 0.995 * clc_312"
"53722339";;0,7688;;;;;;;;;;;;;0,0092;;;;0,222;;;;;;;;;;;"0.7688 * clc_112 + 0.0092 * clc_231 + 0.222 * clc_312"
"5372234";;0,124;;;;;;;;;;0,4324;;;0,2852;;;;0,1584;;;;;;;;;;;"0.124 * clc_112 + 0.4324 * clc_211 + 0.2852 * clc_231 + 0.1584 * clc_312"
"53722391";;0,2399;;;;;;;;;;;;;0,2178;;;;0,5423;;;;;;;;;;;"0.2399 * clc_112 + 0.2178 * clc_231 + 0.5423 * clc_312"
"53722392";;0,2194;;;;;;;;;;0,1346;;;0,6257;;;0,0186;0,0017;;;;;;;;;;;"0.2194 * clc_112 + 0.1346 * clc_211 + 0.6257 * clc_231 + 0.0186 * clc_311 + 0.0017 * clc_312"
"53722393";;0,4569;;;;;;;;;;;;;0,1815;;;0,3616;;;;;;;;;;;;"0.4569 * clc_112 + 0.1815 * clc_231 + 0.3616 * clc_311"
"53722394";;0,0308;;;;;;;;;;0,02;;;0,5892;;;;0,36;;;;;;;;;;;"0.0308 * clc_112 + 0.02 * clc_211 + 0.5892 * clc_231 + 0.36 * clc_312"
"53722395";;0,0821;;;;;;;;;;0,4829;;;0,1517;;;0,0513;0,232;;;;;;;;;;;"0.0821 * clc_112 + 0.4829 * clc_211 + 0.1517 * clc_231 + 0.0513 * clc_311 + 0.232 * clc_312"
"53722396";;0,0538;;;;;;;;;;0,5096;;;0,4366;;;;;;;;;;;;;;;"0.0538 * clc_112 + 0.5096 * clc_211 + 0.4366 * clc_231"
"53722399";;0,5404;;;;;;;;;;0,054;;;0,3819;;;0,0237;;;;;;;;;;;;"0.5404 * clc_112 + 0.054 * clc_211 + 0.3819 * clc_231 + 0.0237 * clc_311"
"537224";;0,0412;;;;;;;;;;0,6656;;;0,1855;;;0,1077;;;;;;;;;;;;"0.0412 * clc_112 + 0.6656 * clc_211 + 0.1855 * clc_231 + 0.1077 * clc_311"
"537225111";;0,3303;;;;;;;;;;0,6539;;;0,0158;;;;;;;;;;;;;;;"0.3303 * clc_112 + 0.6539 * clc_211 + 0.0158 * clc_231"
"537225112";;0,0865;;;;;;;;;;0,859;;;0,0545;;;;;;;;;;;;;;;"0.0865 * clc_112 + 0.859 * clc_211 + 0.0545 * clc_231"
"537225119";;0,5885;;;;;;;;;;0,4115;;;;;;;;;;;;;;;;;;"0.5885 * clc_112 + 0.4115 * clc_211"
"537225191";;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1 * clc_112"
"5372251921";;0,214;;;;;;;;;;0,786;;;;;;;;;;;;;;;;;;"0.214 * clc_112 + 0.786 * clc_211"
"5372251929";;0,5721;;;;;;;;;;0,4279;;;;;;;;;;;;;;;;;;"0.5721 * clc_112 + 0.4279 * clc_211"
"5372251991";;0,3826;4e-04;;;;;;;;;0,5697;;;;;;0,0473;;;;;;;;;;;;"0.3826 * clc_112 + 4e-04 * clc_121 + 0.5697 * clc_211 + 0.0473 * clc_311"
"5372251999";;0,3227;;;;;;;;;;0,6097;;;;;;0,0083;0,0148;;;;;;;;;;0,0444;"0.3227 * clc_112 + 0.6097 * clc_211 + 0.0083 * clc_311 + 0.0148 * clc_312 + 0.0444 * clc_512"
"53722531";;;;;;;;;;;;0,6996;;;;;;;0,081;;;;;;;;;;0,2194;"0.6996 * clc_211 + 0.081 * clc_312 + 0.2194 * clc_512"
"537225321";;0,0423;;;;;;;;;;0,8401;;;0,1127;;;;0,005;;;;;;;;;;;"0.0423 * clc_112 + 0.8401 * clc_211 + 0.1127 * clc_231 + 0.005 * clc_312"
"537225322";;0,0027;;;;;;;;;;0,9973;;;;;;;;;;;;;;;;;;"0.0027 * clc_112 + 0.9973 * clc_211"
"537225323";;0,2468;;;;;;;;;;0,7516;;;0,0016;;;;;;;;;;;;;;;"0.2468 * clc_112 + 0.7516 * clc_211 + 0.0016 * clc_231"
"5372253291";;0,0313;;;;;;;;;;0,892;;;;;;0,0612;0,0155;;;;;;;;;;;"0.0313 * clc_112 + 0.892 * clc_211 + 0.0612 * clc_311 + 0.0155 * clc_312"
"5372253299";;;;;;;;;;;;0,1993;;;;;;0,014;0,7355;;;;;;;;;;0,0512;"0.1993 * clc_211 + 0.014 * clc_311 + 0.7355 * clc_312 + 0.0512 * clc_512"
"53722533";;0,0861;;;;;;;;;;0,4223;;;;;;;0,2622;;;;;;;;;;0,2293;"0.0861 * clc_112 + 0.4223 * clc_211 + 0.2622 * clc_312 + 0.2293 * clc_512"
"5372253411";;;;;;;;;;;;0,4989;;;;;;;0,4961;0,0049;;;;;;;;;;"0.4989 * clc_211 + 0.4961 * clc_312 + 0.0049 * clc_313"
"5372253413";;;;;;;;;;;;0,6939;;;;;;;0,3061;;;;;;;;;;;"0.6939 * clc_211 + 0.3061 * clc_312"
"5372253419";;;;;;;;;;;;0,8368;;;;;;;0,1632;;;;;;;;;;;"0.8368 * clc_211 + 0.1632 * clc_312"
"537225342";;;;;;;;;;;;0,6406;;;;;;;0,0822;0,2772;;;;;;;;;;"0.6406 * clc_211 + 0.0822 * clc_312 + 0.2772 * clc_313"
"537225343";;0,0491;;;;;;;;;;0,5509;;;;;;;0,3314;0,0687;;;;;;;;;;"0.0491 * clc_112 + 0.5509 * clc_211 + 0.3314 * clc_312 + 0.0687 * clc_313"
"537225344";;0,1723;;;;;;;;;;0,574;;;;;;;0,2267;0,027;;;;;;;;;;"0.1723 * clc_112 + 0.574 * clc_211 + 0.2267 * clc_312 + 0.027 * clc_313"
"537225349";;0,5986;;;;;;;;;;0,1815;;;;;;;0,1499;;;;;;;;;;0,07;"0.5986 * clc_112 + 0.1815 * clc_211 + 0.1499 * clc_312 + 0.07 * clc_512"
"53722536";;0,0747;;;;;;;;;;0,4563;;;;;;;0,4386;;;;;;;;;;0,0305;"0.0747 * clc_112 + 0.4563 * clc_211 + 0.4386 * clc_312 + 0.0305 * clc_512"
"53722539";;0,4292;;;;;;;;;;0,1629;;;;;;;0,2683;;;;;;;;;;0,1397;"0.4292 * clc_112 + 0.1629 * clc_211 + 0.2683 * clc_312 + 0.1397 * clc_512"
"53722591";;;;;;;;;;;;0,483;;;;;;;0,517;;;;;;;;;;;"0.483 * clc_211 + 0.517 * clc_312"
"53722599";;;;;;;;;;;;0,4437;;;0,011;;;;0,5452;;;;;;;;;;;"0.4437 * clc_211 + 0.011 * clc_231 + 0.5452 * clc_312"
"537226";;0,206;;;;;;;;;;0,7643;;;;;;;0,0297;;;;;;;;;;;"0.206 * clc_112 + 0.7643 * clc_211 + 0.0297 * clc_312"
"53722711";;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;"1 * clc_211"
"53722712";;;;;;;;;;;;0,0066;;;7e-04;;;;0,9927;;;;;;;;;;;"0.0066 * clc_211 + 7e-04 * clc_231 + 0.9927 * clc_312"
"53722719";;0,0496;;;;;;;;;;0,4113;;;0,3503;;;;0,1888;;;;;;;;;;;"0.0496 * clc_112 + 0.4113 * clc_211 + 0.3503 * clc_231 + 0.1888 * clc_312"
"5372272";;0,4799;;;;;;;;;;0,4527;;;0,0593;;;0,0081;;;;;;;;;;;;"0.4799 * clc_112 + 0.4527 * clc_211 + 0.0593 * clc_231 + 0.0081 * clc_311"
"5372273";;0,0037;;;;;;;;;;0,7434;;;0,0857;;;0,1423;0,0249;;;;;;;;;;;"0.0037 * clc_112 + 0.7434 * clc_211 + 0.0857 * clc_231 + 0.1423 * clc_311 + 0.0249 * clc_312"
"53722741";;0,0081;;;;;;;;;;0,551;;;0,0583;;;;0,3827;;;;;;;;;;;"0.0081 * clc_112 + 0.551 * clc_211 + 0.0583 * clc_231 + 0.3827 * clc_312"
"53722742";;0,1951;;;;;;;;;;0,5101;;;0,1273;;;;0,1676;;;;;;;;;;;"0.1951 * clc_112 + 0.5101 * clc_211 + 0.1273 * clc_231 + 0.1676 * clc_312"
"53722743";;0,0515;;;;;;;;;;0,6757;;;0,1714;;;0,1015;;;;;;;;;;;;"0.0515 * clc_112 + 0.6757 * clc_211 + 0.1714 * clc_231 + 0.1015 * clc_311"
"53722744";;0,3817;;;;;;;;;;0,5817;;;0,0356;;;0,001;;;;;;;;;;;;"0.3817 * clc_112 + 0.5817 * clc_211 + 0.0356 * clc_231 + 0.001 * clc_311"
"53722749";;0,1919;;;;;;;;;;0,3945;;;;;;0,4137;;;;;;;;;;;;"0.1919 * clc_112 + 0.3945 * clc_211 + 0.4137 * clc_311"
"5372279";;;;;;;;;;;;;;;;;;0,9572;0,0428;;;;;;;;;;;"0.9572 * clc_311 + 0.0428 * clc_312"
"53722811";;0,0024;;;;;;;;;;0,9943;;;0,0033;;;;;;;;;;;;;;;"0.0024 * clc_112 + 0.9943 * clc_211 + 0.0033 * clc_231"
"53722812";;0,0037;;;;;;;;;;0,8538;;;0,1425;;;;;;;;;;;;;;;"0.0037 * clc_112 + 0.8538 * clc_211 + 0.1425 * clc_231"
"53722813";;0,1136;0,0643;;;;;;;;;0,7505;;;0,0568;;;;0,0148;;;;;;;;;;;"0.1136 * clc_112 + 0.0643 * clc_121 + 0.7505 * clc_211 + 0.0568 * clc_231 + 0.0148 * clc_312"
"53722814";;0,4066;;;;;;;;;;0,4923;;;0,1011;;;;;;;;;;;;;;;"0.4066 * clc_112 + 0.4923 * clc_211 + 0.1011 * clc_231"
"53722815";;0,0033;;;;;;;;;;0,4408;;;0,102;;;;0,4539;;;;;;;;;;;"0.0033 * clc_112 + 0.4408 * clc_211 + 0.102 * clc_231 + 0.4539 * clc_312"
"53722817";;;;;;;;;;;;0,2349;;;0,1752;;;;0,5899;;;;;;;;;;;"0.2349 * clc_211 + 0.1752 * clc_231 + 0.5899 * clc_312"
"53722819";;0,0701;;;;;;;;;;0,1206;;;0,1077;;;;0,7017;;;;;;;;;;;"0.0701 * clc_112 + 0.1206 * clc_211 + 0.1077 * clc_231 + 0.7017 * clc_312"
"5372282";;0,155;;;;;;;;;;0,5978;;;0,1327;;;;0,1145;;;;;;;;;;;"0.155 * clc_112 + 0.5978 * clc_211 + 0.1327 * clc_231 + 0.1145 * clc_312"
"53722891";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53722892";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53722893";;0,1795;;;;;;;;;;0,5443;;;0,0034;;;;0,2522;0,0206;;;;;;;;;;"0.1795 * clc_112 + 0.5443 * clc_211 + 0.0034 * clc_231 + 0.2522 * clc_312 + 0.0206 * clc_313"
"53722894";;;;;;;;;;;;0,7297;;;0,1585;;;;0,0601;0,0517;;;;;;;;;;"0.7297 * clc_211 + 0.1585 * clc_231 + 0.0601 * clc_312 + 0.0517 * clc_313"
"53722899";;0,2659;;;;;;;;;;0,292;;;0,013;;;0,0807;0,2903;0,058;;;;;;;;;;"0.2659 * clc_112 + 0.292 * clc_211 + 0.013 * clc_231 + 0.0807 * clc_311 + 0.2903 * clc_312 + 0.058 * clc_313"
"5372291";;0,0265;;;;;;;;;;0,3306;;;0,0505;;;0,5924;;;;;;;;;;;;"0.0265 * clc_112 + 0.3306 * clc_211 + 0.0505 * clc_231 + 0.5924 * clc_311"
"5372292";;;;;;;;;;;;0,6101;;;0,359;;;0,0308;;;;;;;;;;;;"0.6101 * clc_211 + 0.359 * clc_231 + 0.0308 * clc_311"
"5372293";;;;;;;;;;;;;;;0,2853;;;0,7147;;;;;;;;;;;;"0.2853 * clc_231 + 0.7147 * clc_311"
"5372295";;0,0759;0,1346;;;;;;;;;0,0293;;;0,4462;;;0,3141;;;;;;;;;;;;"0.0759 * clc_112 + 0.1346 * clc_121 + 0.0293 * clc_211 + 0.4462 * clc_231 + 0.3141 * clc_311"
"5372296";;0,3749;0,0071;;;;;;;;;0,419;;;0,0608;;;0,1382;;;;;;;;;;;;"0.3749 * clc_112 + 0.0071 * clc_121 + 0.419 * clc_211 + 0.0608 * clc_231 + 0.1382 * clc_311"
"5372297";;0,3758;0,063;;;;;;;;;;;;0,4961;;;0,0651;;;;;;;;;;;;"0.3758 * clc_112 + 0.063 * clc_121 + 0.4961 * clc_231 + 0.0651 * clc_311"
"5372299";;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1 * clc_112"
"5372911";;0,3101;0,2247;;;;;;;;;;;;;;;0,4652;;;;;;;;;;;;"0.3101 * clc_112 + 0.2247 * clc_121 + 0.4652 * clc_311"
"5372912";;0,1979;;;;;;;;;;0,3112;;;0,2838;;;;;0,2071;;;;;;;;;;"0.1979 * clc_112 + 0.3112 * clc_211 + 0.2838 * clc_231 + 0.2071 * clc_313"
"53729191";;0,2584;0,0024;;;;;;;;;0,1115;;;;;;0,4667;;0,1611;;;;;;;;;;"0.2584 * clc_112 + 0.0024 * clc_121 + 0.1115 * clc_211 + 0.4667 * clc_311 + 0.1611 * clc_313"
"53729199";;0,3261;0,1021;;;;;;;;0,0682;0,1107;;;0,1288;;;0,1992;;0,0648;;;;;;;;;;"0.3261 * clc_112 + 0.1021 * clc_121 + 0.0682 * clc_142 + 0.1107 * clc_211 + 0.1288 * clc_231 + 0.1992 * clc_311 + 0.0648 * clc_313"
"5372921";;0,2482;;;;;;;;0,0628;;0,4286;;;0,162;;;;0,0055;0,093;;;;;;;;;;"0.2482 * clc_112 + 0.0628 * clc_141 + 0.4286 * clc_211 + 0.162 * clc_231 + 0.0055 * clc_312 + 0.093 * clc_313"
"5372922";;;;;;;;;;0,0105;;;;;;;;;0,2953;0,6942;;;;;;;;;;"0.0105 * clc_141 + 0.2953 * clc_312 + 0.6942 * clc_313"
"5372923";;0,403;;;;;;;;;;;;;;;;;;0,597;;;;;;;;;;"0.403 * clc_112 + 0.597 * clc_313"
"5372924";;0,6022;;;;;;;;;;4e-04;;;0,318;;;;;0,0795;;;;;;;;;;"0.6022 * clc_112 + 4e-04 * clc_211 + 0.318 * clc_231 + 0.0795 * clc_313"
"5372925";;0,21;;;;;;;;;;0,0756;;;0,0762;;;0,0912;0,097;0,4501;;;;;;;;;;"0.21 * clc_112 + 0.0756 * clc_211 + 0.0762 * clc_231 + 0.0912 * clc_311 + 0.097 * clc_312 + 0.4501 * clc_313"
"5372926";;0,01;;;;;;;;;;0,2332;;;0,1161;;;;0,112;0,5288;;;;;;;;;;"0.01 * clc_112 + 0.2332 * clc_211 + 0.1161 * clc_231 + 0.112 * clc_312 + 0.5288 * clc_313"
"5372927";;0,4611;;;;;;;;;;0,0701;;;0,0283;;;0,1726;;0,2679;;;;;;;;;;"0.4611 * clc_112 + 0.0701 * clc_211 + 0.0283 * clc_231 + 0.1726 * clc_311 + 0.2679 * clc_313"
"5372929";;0,81;0,0846;;;;;;;;;;;;;;;0,1053;;;;;;;;;;;;"0.81 * clc_112 + 0.0846 * clc_121 + 0.1053 * clc_311"
"5372931";;0,3495;0,2487;;;;;;;;0,0315;;;;0,0675;;;0,2349;;0,0679;;;;;;;;;;"0.3495 * clc_112 + 0.2487 * clc_121 + 0.0315 * clc_142 + 0.0675 * clc_231 + 0.2349 * clc_311 + 0.0679 * clc_313"
"5372932";;0,8534;;;;;;;;;;;;;;;;0,0204;;0,1263;;;;;;;;;;"0.8534 * clc_112 + 0.0204 * clc_311 + 0.1263 * clc_313"
"5372939";;0,6868;0,3132;;;;;;;;;;;;;;;;;;;;;;;;;;;"0.6868 * clc_112 + 0.3132 * clc_121"
"53729411";;0,2231;;;;;;;;;;0,4014;;;0,3756;;;;;;;;;;;;;;;"0.2231 * clc_112 + 0.4014 * clc_211 + 0.3756 * clc_231"
"53729412";;0,4188;;;;;;;;;;0,181;;;0,3581;;;0,0421;;;;;;;;;;;;"0.4188 * clc_112 + 0.181 * clc_211 + 0.3581 * clc_231 + 0.0421 * clc_311"
"53729413";;0,1125;;;;;;;;;;0,0425;;;0,3145;;;0,5305;;;;;;;;;;;;"0.1125 * clc_112 + 0.0425 * clc_211 + 0.3145 * clc_231 + 0.5305 * clc_311"
"53729414";;0,3741;;;;;;;;;;0,2696;;;0,3563;;;;;;;;;;;;;;;"0.3741 * clc_112 + 0.2696 * clc_211 + 0.3563 * clc_231"
"537294151";;0,584;;;;;;;;;;;;;0,3328;;;0,0831;;;;;;;;;;;;"0.584 * clc_112 + 0.3328 * clc_231 + 0.0831 * clc_311"
"537294159";;0,78;;;;;;;;;;;;;0,22;;;;;;;;;;;;;;;"0.78 * clc_112 + 0.22 * clc_231"
"537294161";;0,1041;;;;;;;;;;0,2298;;;0,52;;;0,1461;;;;;;;;;;;;"0.1041 * clc_112 + 0.2298 * clc_211 + 0.52 * clc_231 + 0.1461 * clc_311"
"537294162";;0,1743;;;;;;;;;;0,4468;;;0,1119;;;0,0448;;0,2222;;;;;;;;;;"0.1743 * clc_112 + 0.4468 * clc_211 + 0.1119 * clc_231 + 0.0448 * clc_311 + 0.2222 * clc_313"
"5372941691";;0,0442;;;;;;;;;;;;;0,9558;;;;;;;;;;;;;;;"0.0442 * clc_112 + 0.9558 * clc_231"
"5372941699";;0,9189;;;;;;;;;;;;;0,0811;;;;;;;;;;;;;;;"0.9189 * clc_112 + 0.0811 * clc_231"
